Measure:volume,Left-Lateral-Ventricle,Left-Inf-Lat-Vent,Left-Cerebellum-White-Matter,Left-Cerebellum-Cortex,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,3rd-Ventricle,4th-Ventricle,Brain-Stem,Left-Hippocampus,Left-Amygdala,CSF,Left-Accumbens-area,Left-VentralDC,Left-vessel,Left-choroid-plexus,Right-Lateral-Ventricle,Right-Inf-Lat-Vent,Right-Cerebellum-White-Matter,Right-Cerebellum-Cortex,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,Right-VentralDC,Right-vessel,Right-choroid-plexus,5th-Ventricle,WM-hypointensities,Left-WM-hypointensities,Right-WM-hypointensities,non-WM-hypointensities,Left-non-WM-hypointensities,Right-non-WM-hypointensities,Optic-Chiasm,CC_Posterior,CC_Mid_Posterior,CC_Central,CC_Mid_Anterior,CC_Anterior,BrainSegVol,BrainSegVolNotVent,BrainSegVolNotVentSurf,lhCortexVol,rhCortexVol,CortexVol,lhCerebralWhiteMatterVol,rhCerebralWhiteMatterVol,CerebralWhiteMatterVol,SubCortGrayVol,TotalGrayVol,SupraTentorialVol,SupraTentorialVolNotVent,SupraTentorialVolNotVentVox,MaskVol,BrainSegVol-to-eTIV,MaskVol-to-eTIV,lhSurfaceHoles,rhSurfaceHoles,SurfaceHoles,EstimatedTotalIntraCranialVol
sub-FREAD001,19587.1,823.9,14785.2,51552.3,6771.6,3208.1,4063.2,2041.5,1401.0,1338.4,19212.6,2775.0,1011.5,1207.6,222.8,3266.4,20.3,820.4,16917.8,634.8,14824.5,48730.5,6368.3,2839.6,4352.1,1925.9,3179.1,1386.8,355.3,3492.1,28.1,627.8,0.0,7627.2,0.0,0.0,0.0,0.0,0.0,148.6,1137.5,476.9,453.6,434.1,872.1,1061930.0,1019034.0,1018638.68112,180507.016455,187269.156358,367776.172813,237480.509092,231145.999215,468626.508306,49334.0,522059.172813,930283.681119,891158.681119,886023.0,1460056.0,0.743269,1.021926,36.0,51.0,87.0,1428729.46026
sub-FREAD002,43754.1,2583.4,11482.4,58732.8,6681.6,3424.6,4062.3,1954.8,5418.6,4169.9,19527.6,4078.9,1372.0,1230.5,221.7,4214.2,58.3,827.6,38373.9,2985.6,17478.1,59183.3,7134.1,3292.6,3746.8,1876.4,3978.7,1692.0,270.1,4016.6,20.4,804.8,0.0,2659.3,0.0,0.0,0.0,0.0,0.0,50.5,1118.0,626.2,416.0,435.2,1168.6,1253037.0,1153139.0,1151744.14787,210649.905767,206013.98823,416663.893998,266976.353246,264206.90063,531183.253876,54057.0,593431.893998,1098403.14787,1009190.14787,1003280.0,1686743.0,0.75951,1.022394,50.0,36.0,86.0,1649797.50193
sub-FREAD003,20467.0,1148.0,16871.3,54190.8,6669.4,3832.9,4320.4,2447.6,2102.0,1968.6,19979.5,3401.9,1195.9,1212.3,435.6,4467.2,61.1,873.7,17036.0,739.9,16247.7,57045.5,6879.1,3673.9,4450.6,2348.7,3535.1,1546.2,618.1,4087.7,24.3,705.1,0.0,2239.8,0.0,0.0,0.0,0.0,0.0,248.2,870.2,540.9,442.4,422.0,812.7,1124055.0,1078121.0,1077214.0943,189504.174264,204517.396107,394021.570371,239358.854786,239596.669145,478955.523932,55857.0,566518.570371,976639.094302,935847.094302,929624.0,1571045.0,0.737196,1.030348,29.0,28.0,57.0,1524771.11509
sub-FREAD005,11179.8,891.6,16487.3,52934.3,6022.9,3760.3,4316.0,2041.7,1956.8,2686.6,22045.3,2608.4,838.1,1019.8,224.5,4108.8,42.3,767.5,8135.4,353.3,15392.6,55333.3,6130.2,3789.5,4524.4,2051.6,3229.5,975.9,302.8,4021.3,55.2,675.2,0.0,12311.9,0.0,0.0,0.0,0.0,0.0,225.4,938.0,516.7,572.2,457.2,1021.4,1097312.0,1070490.0,1070335.70041,183500.04239,198548.79924,382048.84163,248682.160719,246511.698062,495193.858781,51074.0,544487.84163,953799.700411,932389.700411,928337.0,1659311.0,0.735148,1.111661,37.0,35.0,72.0,1492640.56333
sub-FREAD006,23335.0,653.8,14926.5,52111.6,6048.1,3733.1,3906.3,1627.1,2084.6,2250.6,17180.0,3510.8,1271.0,1599.8,241.2,3180.7,21.1,990.6,21057.6,850.5,11581.6,54251.5,5817.9,3210.0,3771.8,1477.7,3127.4,1015.3,297.5,2950.2,7.9,862.5,0.0,4919.6,0.0,0.0,0.0,0.0,0.0,194.4,883.2,494.8,477.2,418.8,842.2,990473.0,936918.0,936751.116408,168282.497537,167021.945752,335304.443288,208573.015902,209992.657218,418565.67312,47340.0,493372.443288,854059.116408,806410.116408,801188.0,1491316.0,0.682025,1.026897,42.0,43.0,85.0,1452254.12069
sub-FREAD007,26408.1,1399.2,13274.3,53501.3,6374.1,3306.2,4214.8,1929.4,1717.8,1882.9,18878.5,3178.3,893.0,1402.2,166.8,3546.1,20.4,1140.3,24807.3,1233.8,12940.6,54269.3,6583.5,3140.9,4288.0,2115.3,3334.8,1286.2,238.5,3428.7,20.4,1121.7,0.0,7039.3,0.0,0.0,0.0,0.0,0.0,207.1,1242.7,446.5,486.9,458.2,1144.9,1081906.0,1020739.0,1020458.57565,171047.671636,172890.08801,343937.759646,247937.668488,240599.147515,488536.816003,50465.0,507727.759646,946280.575649,890089.575649,883017.0,1458505.0,0.75441,1.017012,90.0,76.0,166.0,1434108.02533
sub-FREAD008,27923.3,2045.8,14919.3,52259.8,6562.8,3427.9,5301.3,2549.4,2634.7,1893.6,22006.0,2875.9,1016.7,1140.3,281.4,4458.2,50.5,1103.6,32171.4,1082.1,13060.7,55513.4,6932.4,3454.0,5076.5,2404.2,2865.4,1097.1,359.2,3968.1,31.0,1042.6,0.0,6464.9,0.0,0.0,0.0,0.0,0.0,283.3,1065.0,468.9,555.9,503.9,1098.3,1272330.0,1201196.0,1200138.48161,212235.593055,211508.33404,423743.927095,291010.143359,291411.411156,582421.554516,54923.0,591637.927095,1133346.48161,1067789.48161,1061924.0,1805304.0,0.713904,1.012955,39.0,31.0,70.0,1782215.20601
sub-FREAD009,17235.9,1257.5,14710.3,38827.2,5198.7,2769.7,4095.0,1977.1,1649.9,1656.7,16146.5,2377.7,942.0,971.8,144.3,3469.6,10.5,680.5,14702.2,1101.6,12987.7,37821.6,5074.1,2679.2,3674.9,2065.1,2788.8,1130.4,253.2,3468.8,0.0,706.6,0.0,3471.1,0.0,0.0,10.3,0.0,0.0,124.4,945.5,398.0,433.3,406.1,808.0,846530.0,806761.0,806448.042336,137216.625987,147290.354363,284506.98035,185253.153412,186177.908574,371431.061986,44246.0,409165.98035,739680.042336,704034.042336,700396.0,1146719.0,0.75561,1.023558,31.0,35.0,66.0,1120326.09197
sub-FREAD010,30425.6,1957.9,14300.1,56486.0,5949.1,3164.8,3162.2,1665.9,2825.1,2059.1,18246.0,2290.9,790.1,1804.0,150.8,3606.4,44.4,1354.5,22150.8,1912.4,13385.4,51623.2,5997.2,3417.3,3204.7,1612.4,2654.1,909.8,252.7,3384.0,22.1,1073.9,0.0,9848.9,0.0,0.0,0.0,0.0,0.0,363.5,868.3,450.0,466.2,401.3,769.9,1138796.0,1073033.0,1074892.99246,159869.815878,163052.530855,322922.346732,281662.03131,286263.614414,567925.645724,44292.0,481188.346732,1002320.99246,943209.992456,933051.0,1432908.0,0.786625,0.989784,21.0,22.0,43.0,1447697.89402
sub-FREHC001,4686.9,179.2,15302.5,51518.7,7364.0,3493.3,4087.5,2156.3,765.8,1784.2,18976.2,3895.7,1509.7,700.3,380.4,3512.2,0.0,384.3,6948.8,180.6,14632.6,50852.2,6413.5,3418.3,4482.0,1944.4,3723.4,1620.2,439.1,3432.2,12.8,566.7,0.0,1751.8,0.0,0.0,0.0,0.0,0.0,163.2,1073.7,664.0,872.6,614.5,883.4,1139798.0,1124315.0,1123206.42819,220939.001381,220056.446995,440995.448376,248909.243245,247385.736573,496294.979818,53026.0,598780.448376,1006625.42819,994215.428194,991259.0,1577765.0,0.755483,1.045778,29.0,20.0,49.0,1508700.15245
