Measure:volume,Left-Lateral-Ventricle,Left-Inf-Lat-Vent,Left-Cerebellum-White-Matter,Left-Cerebellum-Cortex,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,3rd-Ventricle,4th-Ventricle,Brain-Stem,Left-Hippocampus,Left-Amygdala,CSF,Left-Accumbens-area,Left-VentralDC,Left-vessel,Left-choroid-plexus,Right-Lateral-Ventricle,Right-Inf-Lat-Vent,Right-Cerebellum-White-Matter,Right-Cerebellum-Cortex,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,Right-VentralDC,Right-vessel,Right-choroid-plexus,5th-Ventricle,WM-hypointensities,Left-WM-hypointensities,Right-WM-hypointensities,non-WM-hypointensities,Left-non-WM-hypointensities,Right-non-WM-hypointensities,Optic-Chiasm,CC_Posterior,CC_Mid_Posterior,CC_Central,CC_Mid_Anterior,CC_Anterior,BrainSegVol,BrainSegVolNotVent,BrainSegVolNotVentSurf,lhCortexVol,rhCortexVol,CortexVol,lhCerebralWhiteMatterVol,rhCerebralWhiteMatterVol,CerebralWhiteMatterVol,SubCortGrayVol,TotalGrayVol,SupraTentorialVol,SupraTentorialVolNotVent,SupraTentorialVolNotVentVox,MaskVol,BrainSegVol-to-eTIV,MaskVol-to-eTIV,lhSurfaceHoles,rhSurfaceHoles,SurfaceHoles,EstimatedTotalIntraCranialVol
sub-FREAD001,19764.6,851.5,13185.1,51028.1,6997.0,3156.6,3947.7,1889.0,1429.0,1344.8,19281.4,2761.2,1017.8,1283.6,217.7,3233.6,10.7,870.3,16838.8,600.9,13528.0,48948.6,6695.6,2833.2,4250.2,1882.1,3098.3,1339.5,309.6,3169.8,29.1,758.2,0.0,8274.0,0.0,0.0,0.0,0.0,0.0,166.4,1160.6,478.9,439.5,450.7,905.7,1052929.0,1009610.0,1008996.40661,182563.053181,187510.564293,370073.617474,231178.82241,230621.966726,461800.789136,48735.0,521906.617474,924250.40661,884836.40661,881077.0,1460056.0,0.736969,1.021926,37.0,45.0,82.0,1428729.46026
sub-FREAD002,44264.2,2487.5,10523.5,57501.8,6603.7,3643.3,3910.3,1803.1,5465.0,4230.4,19787.9,4015.4,1414.1,1231.8,179.4,4293.8,44.8,692.4,38358.3,2974.9,14868.0,58039.5,7096.5,3625.1,3587.0,1784.9,3799.6,1734.1,239.7,3996.6,17.8,798.0,0.0,2708.9,0.0,0.0,0.0,0.0,0.0,166.8,1349.4,734.4,733.1,728.9,1212.9,1245478.0,1145354.0,1142689.27101,210432.192774,204576.474178,415008.666952,266317.438797,263783.165261,530100.604058,54076.0,588888.666952,1096216.27101,1006897.27101,1001682.0,1686743.0,0.754928,1.022394,56.0,33.0,89.0,1649797.50193
sub-FREAD003,20366.8,1137.3,15527.1,54790.6,6867.9,3818.0,4338.7,2308.4,2143.6,2009.9,20272.1,3381.2,1132.1,1232.8,390.1,4307.8,94.4,1004.4,17094.4,754.4,15341.3,57254.5,6959.1,3728.4,4356.5,2236.2,3528.9,1406.4,577.5,4076.2,13.1,630.6,0.0,2363.8,0.0,0.0,0.0,0.0,0.0,236.8,905.0,507.6,460.9,418.9,811.3,1123058.0,1076984.0,1076078.8677,189597.221415,205047.875119,394645.096534,239719.736584,239823.034581,479542.771165,55362.0,566970.096534,977199.8677,936375.8677,930349.0,1571045.0,0.736542,1.030348,22.0,29.0,51.0,1524771.11509
sub-FREAD004,22367.4,901.1,12602.0,52453.7,5772.5,2835.0,3774.0,1741.8,1975.5,2078.9,19557.9,3133.6,1194.1,1311.7,246.6,3384.6,49.7,922.3,17101.9,829.9,11863.4,54656.3,5621.6,2694.3,3724.1,1637.4,3427.4,1305.5,307.1,3484.3,20.9,779.0,0.0,2485.1,0.0,0.0,0.0,0.0,0.0,205.6,947.0,446.0,428.2,410.8,865.0,1050623.0,1002759.0,1001712.47681,188152.990873,197203.841009,385356.831883,218578.819948,218464.824979,437043.644927,46340.0,541817.831883,915317.47681,872719.47681,869643.0,1475544.0,0.745469,1.046971,43.0,72.0,115.0,1409344.97444
sub-FREAD005,11291.3,847.8,13445.1,54001.3,6469.3,3663.7,4325.1,1869.0,1925.6,2656.8,22834.9,2429.8,707.0,1021.8,203.9,3864.0,24.1,677.9,8235.6,336.0,13268.8,54736.6,6333.9,3804.4,4481.3,1927.1,3153.4,1080.4,323.1,3856.5,38.6,674.2,0.0,12704.0,0.0,0.0,0.0,0.0,0.0,222.8,940.3,517.0,527.5,473.9,1049.3,1094321.0,1067493.0,1067531.9548,184562.341493,198887.665295,383450.006788,247200.883376,249268.06464,496468.948015,50569.0,545412.006788,955435.954804,933964.954804,930298.0,1659311.0,0.733144,1.111661,41.0,30.0,71.0,1492640.56333
sub-FREAD006,23476.1,682.0,13252.4,52402.3,6212.3,3689.3,3873.5,1615.0,2105.5,2274.4,17239.5,3491.4,1138.5,1562.1,256.4,3102.8,19.4,915.8,20991.7,860.3,10079.7,50197.4,6023.7,3301.3,3748.8,1431.3,3058.9,910.9,292.4,2889.6,6.7,930.1,0.0,5022.1,0.0,0.0,0.0,0.0,0.0,249.3,859.3,505.9,454.7,417.7,816.4,977412.0,923762.0,923546.989881,168064.311926,168499.580465,336563.89239,205126.948069,206464.149421,411591.09749,47248.0,489941.89239,847407.989881,799670.989881,795379.0,1491316.0,0.673031,1.026897,48.0,46.0,94.0,1452254.12069
sub-FREAD007,26836.3,1119.3,12156.3,54138.3,6381.3,3848.2,4247.3,1871.3,1719.1,1845.7,19389.3,3054.9,893.0,1421.2,143.3,3498.0,29.3,1172.3,24886.6,1086.8,11572.0,52991.8,6759.2,3284.3,4264.2,1905.6,3123.5,1106.1,281.1,3259.8,20.9,1180.8,0.0,6488.1,0.0,0.0,0.0,0.0,0.0,253.0,1195.9,438.9,503.7,474.3,1163.6,1071108.0,1009969.0,1009532.36221,173164.547296,176174.630945,349339.178241,241578.748519,233961.435452,475540.183971,50180.0,512117.178241,938207.362213,882012.362213,875261.0,1458505.0,0.746881,1.017012,81.0,69.0,150.0,1434108.02533
sub-FREAD008,28033.6,2023.9,13313.1,48286.6,6574.7,3582.3,5125.5,2493.5,2618.4,1951.5,22543.6,2755.9,965.9,1154.0,296.4,4302.8,52.5,1176.6,32152.0,1198.1,11741.9,48545.8,7099.3,3666.2,5024.2,2306.4,2871.1,975.7,314.7,3786.2,22.1,1046.2,0.0,7277.3,0.0,0.0,0.0,0.0,0.0,304.9,1103.3,517.1,534.9,483.9,1048.5,1258877.0,1187534.0,1186654.24719,212697.636417,212350.824602,425048.46102,290890.216818,291033.569353,581923.786171,54435.0,581374.46102,1132524.24719,1066755.24719,1062036.0,1805304.0,0.706355,1.012955,46.0,28.0,74.0,1782215.20601
sub-FREAD009,17204.8,1226.7,13449.2,39001.8,5249.8,2647.4,4088.5,1873.3,1602.8,1639.0,16523.9,2398.9,829.9,838.4,214.4,3144.8,10.8,844.0,14638.7,1069.2,12050.2,38189.1,5121.4,2672.9,3700.0,1881.8,2732.5,1089.8,257.0,3074.9,0.0,757.6,0.0,4156.7,0.0,0.0,12.6,0.0,0.0,179.8,906.9,394.9,434.5,426.6,879.2,843913.0,804274.0,803526.391358,137690.112403,146386.873206,284076.985609,183915.994886,188558.410863,372474.405749,42974.0,407118.985609,738840.391358,703119.391358,700096.0,1146719.0,0.753274,1.023558,35.0,36.0,71.0,1120326.09197
sub-FREAD010,30571.4,1723.4,12663.2,56132.8,6270.2,3299.6,3184.7,1616.1,2743.7,2025.8,18561.3,2144.6,827.4,1865.9,171.9,3404.6,23.1,1433.5,22018.3,1974.2,11980.5,51265.5,6243.5,3485.6,3061.2,1519.7,2332.2,785.5,273.7,3288.2,17.7,1350.5,0.0,13838.4,0.0,0.0,0.0,0.0,0.0,325.4,883.5,461.1,523.4,420.5,795.8,1143231.0,1077380.0,1079346.62031,160642.87852,163656.470417,324299.348937,285493.50494,290866.766429,576360.271369,43764.0,480000.348937,1010492.6203,951272.620305,942151.0,1432908.0,0.789689,0.989784,24.0,21.0,45.0,1447697.89402
