Measure:volume,Hippocampal_tail,subiculum-body,CA1-body,subiculum-head,hippocampal-fissure,presubiculum-head,CA1-head,presubiculum-body,parasubiculum,molecular_layer_HP-head,molecular_layer_HP-body,GC-ML-DG-head,CA3-body,GC-ML-DG-body,CA4-head,CA4-body,fimbria,CA3-head,HATA,Whole_hippocampal_body,Whole_hippocampal_head,Whole_hippocampus
sub-FREAD001,361.53096,156.683745,101.557278,125.090022,188.163892,102.512756,348.979919,94.921699,60.764923,224.456237,159.284609,111.143505,89.739262,100.435645,97.208707,99.459177,40.59777,91.577208,37.300441,842.679185,1199.033718,2403.243863
sub-FREAD002,610.869948,242.66076,105.588955,211.328333,166.533367,143.49085,525.807394,164.41458,85.074347,353.535919,203.50766,147.823654,84.308965,115.104295,125.002361,110.64151,60.840573,113.83377,57.116059,1087.067297,1763.012687,3460.949932
sub-FREAD003,495.13528,205.846286,128.183407,160.745252,212.737743,109.973712,436.580368,126.466975,44.247651,267.537643,198.190465,119.341799,96.730998,123.291196,104.839596,116.589565,44.850796,93.684706,33.09855,1040.149688,1370.049276,2905.334244
sub-FREAD004,435.323488,192.14676,98.766972,142.53898,157.833373,109.254376,394.144869,134.570291,53.780688,261.282522,175.383516,122.267379,81.734666,101.995729,113.310469,96.917333,36.845363,108.531408,43.214823,918.36063,1348.325515,2702.009633
sub-FREAD005,388.869598,161.674206,89.213355,128.691418,153.896236,82.226785,340.798448,101.091348,36.072222,213.855055,150.708172,91.593338,74.340758,97.38487,80.264364,92.778973,25.574156,77.747243,31.742909,792.765837,1082.991781,2264.627216
sub-FREAD006,474.517994,208.400169,95.59668,173.217902,183.220964,135.222024,442.261968,155.117959,95.438448,292.957436,186.922836,131.776797,85.13031,126.595557,111.675693,117.265562,27.634657,108.601815,51.530828,1002.66373,1542.68291,3019.864634
sub-FREAD007,501.531117,171.465061,107.090698,118.076685,171.518709,98.954615,357.530985,129.825969,53.477278,214.718789,163.137302,101.434874,73.903484,99.522515,89.401977,93.210037,21.222474,82.94922,42.886505,859.37754,1159.430927,2520.339584
sub-FREAD008,364.8658,150.75928,83.503814,134.566747,166.057856,100.312257,381.84344,112.091138,45.133271,226.660909,140.255031,102.165536,68.041836,89.910691,89.885159,84.818207,34.711549,83.714323,33.891301,764.091547,1198.172941,2327.130288
sub-FREAD009,315.890747,159.789801,64.860244,125.701092,141.688035,81.747714,323.94062,117.976882,36.930412,195.991064,132.839337,78.907789,55.010069,76.939427,68.29236,71.319011,35.13755,59.121484,39.759522,713.872322,1010.392056,2040.155125
sub-FREAD010,349.069874,125.462234,84.550378,88.661137,106.006377,61.766764,228.910784,87.160218,42.416798,136.323925,117.774224,62.56916,48.822843,69.933843,57.028176,66.376788,5.80769,50.240479,20.15747,605.888217,748.074693,1703.032784
sub-FREHC001,575.515259,272.154178,109.222042,218.068708,147.703106,164.222551,479.552115,198.233766,67.291832,328.92508,227.610307,143.274508,76.32075,141.181215,122.179258,125.235036,77.837685,109.812261,56.008422,1227.794979,1689.334735,3492.644973
sub-FREHC002,462.420603,207.090628,87.00302,160.801311,162.694097,113.876998,380.525355,137.553776,49.938088,255.809848,173.922698,116.895459,72.712837,105.964553,99.961728,95.380413,68.901543,85.28429,44.024761,948.529468,1307.117838,2718.067908
sub-FREHC003,520.040907,218.160611,129.537144,181.909252,242.525065,140.213598,500.679275,127.865875,57.638719,323.23435,202.210628,158.175407,105.614379,127.477469,134.073493,121.468514,58.075042,134.059717,51.605071,1090.409661,1681.588883,3292.039451
sub-FREHC004,630.17943,238.361853,146.509609,202.788397,224.872319,137.53036,539.042493,126.517271,47.152107,348.936108,234.409548,164.32634,115.640701,150.460903,139.859486,140.009962,60.818403,117.108751,62.628981,1212.72825,1759.373023,3602.280703
sub-FREHC005,612.703886,280.668384,164.001799,217.641389,226.87748,151.696462,531.552953,143.389104,82.668076,350.175981,268.75718,164.640417,133.588471,171.270597,142.996764,163.767471,42.860673,141.621934,65.622927,1368.303678,1848.616903,3829.624468
