Measure:volume,Hippocampal_tail,subiculum-body,CA1-body,subiculum-head,hippocampal-fissure,presubiculum-head,CA1-head,presubiculum-body,parasubiculum,molecular_layer_HP-head,molecular_layer_HP-body,GC-ML-DG-head,CA3-body,GC-ML-DG-body,CA4-head,CA4-body,fimbria,CA3-head,HATA,Whole_hippocampal_body,Whole_hippocampal_head,Whole_hippocampus
sub-FREAD001,445.421501,168.119123,114.78085,139.166328,224.538961,108.566874,422.039967,109.234859,54.918998,255.710657,173.467256,122.959586,95.104476,113.806287,107.096621,113.314346,30.591687,107.756055,55.166752,918.418885,1373.381837,2737.222223
sub-FREAD002,592.015356,213.680942,117.178542,201.751371,247.522165,130.694229,583.577347,138.259271,80.643127,357.548124,195.999689,165.330814,88.535441,115.3959,136.542831,109.372907,42.036538,118.223786,60.031035,1020.45923,1834.342664,3446.817249
sub-FREAD003,484.238388,201.595297,136.990844,157.553107,196.041632,108.744749,468.011892,120.019776,47.610113,287.789187,199.541247,141.59271,102.560585,126.490555,119.571488,122.066318,41.64738,112.394021,56.195192,1050.912002,1499.462459,3034.612849
sub-FREAD004,448.988815,198.455377,128.902456,155.743051,169.757131,113.68957,447.126825,108.43137,50.701549,291.304077,187.442334,141.237734,97.614816,117.399416,126.670425,113.712218,32.570514,125.489302,44.935571,984.5285,1496.898105,2930.41542
sub-FREAD005,467.596073,204.616309,132.410299,121.213596,197.219455,85.547983,349.886502,94.736806,37.512072,225.013224,196.224737,120.665374,100.493131,137.700725,104.26688,130.516026,23.213137,107.672543,42.658914,1019.91117,1194.437088,2681.944331
sub-FREAD006,467.831914,159.307874,96.439909,133.420028,148.546406,101.229291,401.115525,106.540686,57.346659,241.419349,148.754216,109.010463,69.236147,100.508969,93.079874,94.02803,8.514171,89.92966,49.10039,783.330002,1275.651239,2526.813156
sub-FREAD007,547.398282,183.266771,111.789858,116.638406,177.139986,91.153946,388.383979,117.47636,61.440964,229.062391,174.653721,120.65,86.877776,106.63751,105.139524,101.609012,15.167258,107.803734,43.762743,897.478265,1264.035687,2708.912233
sub-FREAD008,434.092843,177.816516,82.708988,119.545769,153.07829,85.227427,365.267257,111.877553,34.263824,222.886876,145.910959,103.3512,66.366816,104.027911,92.19985,98.489426,35.93349,94.770248,36.328149,823.131659,1153.8406,2411.065102
sub-FREAD009,406.469717,167.9838,82.231747,147.375289,178.453734,96.99958,359.545517,114.989118,46.570133,228.341141,149.593513,101.412573,69.648164,87.606032,85.281796,82.617168,42.104129,79.211927,54.503983,796.773671,1199.24194,2402.485328
sub-FREAD010,374.459659,133.287809,84.335219,127.947144,120.760588,97.584914,327.720708,102.342952,68.222276,196.714757,130.359684,81.065803,62.280498,77.812289,66.964097,74.060643,10.558611,50.082088,35.690123,675.037705,1051.99191,2101.489274
sub-FREHC001,642.786833,271.270003,109.41868,167.785849,141.715346,121.208118,462.977074,168.003061,47.542172,308.354288,232.773953,149.340587,97.830313,146.549958,124.770274,135.379586,59.084007,124.17155,41.153684,1220.309561,1547.303596,3410.39999
sub-FREHC002,496.690046,198.770378,103.960341,132.546314,140.539323,99.654783,409.612033,118.893646,42.893035,253.991969,187.330207,127.521201,93.460809,111.391691,105.659068,100.710216,56.566704,102.051057,47.791396,971.083993,1321.720856,2789.494895
sub-FREHC003,526.09649,243.983114,143.852449,177.586852,196.501112,130.268209,516.639863,136.184252,50.287692,315.647638,236.584298,149.582539,116.687646,157.20996,130.938189,146.117205,40.822739,124.374601,48.600128,1221.441662,1643.925711,3391.463863
sub-FREHC004,657.348697,265.189036,133.010333,224.493272,221.23609,158.973638,599.56188,141.860635,62.764507,375.139061,243.19081,162.954624,112.552188,149.816421,137.03403,131.43094,64.00176,112.073098,50.776893,1241.052121,1883.771001,3782.171819
sub-FREHC005,701.034882,272.616543,162.586088,202.268758,227.480775,140.062906,572.378107,156.590843,85.438135,358.025561,264.252568,168.899045,140.24439,199.144266,145.783009,178.477139,45.743167,146.120677,65.624923,1419.655004,1884.60112,4005.291007
sub-FREHC006,524.903853,229.215919,133.370885,166.753232,140.891025,121.775847,498.671046,132.963246,37.329885,310.239965,222.050321,145.531008,90.590556,132.101883,120.726626,116.399108,77.128981,125.627834,75.891607,1133.820899,1602.547049,3261.271801
sub-FREHC007,456.135835,228.475475,140.481326,139.176625,197.000013,103.686974,433.150639,124.56022,45.132207,276.062088,225.493549,135.824241,107.311536,140.08572,115.07556,134.01812,40.875767,110.597711,48.92745,1141.301712,1407.633494,3005.071041
